,,,,,,,,,,,,
,DataSet(vertex num_ratio),Greedy,,,,,DDS-FPT(k=5),,,,,
,,size,time(ns),,,,ds1,r,time(ns),,,
,,,1,2,3,avg,,,1,2,3,avg
,1000_0.3,36,26207566.00,28258936.00,26425256.00,26963919.33,32,1(N/A),172092461.00,214946935.00,213859778.00,200299724.67
,,,,,,,,2,101848327.00,103810504.00,102509080.00,102722637.00
,,,,,,,,3,133233176.00,97194240.00,97982077.00,109469831.00
,,,,,,,,4,89903942.00,92132475.00,92143640.00,91393352.33
,,,,,,,,5,126048442.00,88598983.00,93234591.00,102627338.67
,2000_0.3,31,85565863.00,93329740.00,91089838.00,89995147.00,27,1,670825771.00,683687828.00,671543335.00,675352311.33
,,,,,,,,2,544221502.00,541815192.00,523154150.00,536396948.00
,,,,,,,,3,530835142.00,529339100.00,500016339.00,520063527.00
,,,,,,,,4,486552697.00,492451076.00,469549983.00,482851252.00
,,,,,,,,5,480364915.00,503647727.00,504406717.00,496139786.33
,,,,,,,,DDS-FPT(k=8),,,,
,2000_0.2,52,77103805,76288745,75169343,76187297.67,45,1(NA),538986699,544046898,569885264,550972953.67
,,,,,,,,2,349241338,352846574,369366510,357151474.00
,,,,,,,,3,330752072,329873991,337558182,332728081.67
,,,,,,,,4,300203563,319324212,318642446,312723407.00
,,,,,,,,5,276305248,270575384,304263800,283714810.67
,,,,,,,,6,300061572,322789190,302119835,308323532.33
,,,,,,,,7,338582499,320364647,346566344,335171163.33
,,,,,,,,8,312672559,296990285,325691215,311784686.33
