,,,,,,,
DataSet(vertex num_ratio),Greedy,,DDS-FPT,,,,
,size,time(ns),ds1Size,k,r,time(ns),improvement(size)
1000_0.3,36,26963919.33,32,5,2,102722637,5.556%
,,,,,3,109469831,2.778%
,,,,,4,91393352.33,0.000%
2000_0.3,31,89995147,27,5,1,675352311.33,9.677%
,,,,,2,536396948,6.452%
,,,,,3,520063527,3.226%
,,,,,4,482851252,0.000%
2000_0.2,52,76187297.67,45,8,2,357151474.00,9.615%
,,,,,3,332728081.67,7.692%
,,,,,4,312723407.00,5.769%
,,,,,5,283714810.67,3.846%
,,,,,6,308323532.33,1.923%
,,,,,7,335171163.33,0.000%
