10 times 
000027_zebra.konet,5,335338,4,164756,5,253474,5,163534,5,179931,5,118106,4,107020,5,104986,4,163064,5,137335,
000034_zachary.konet,14,130837,13,126673,13,126039,9,109520,7,172194,12,111569,13,161238,9,108196,13,118048,8,97869,
000062_dolphins.konet,19,155529,21,237260,22,161241,21,160388,21,199459,22,160673,18,157362,20,171192,20,160319,19,154469,
000112_David_Copperfield.konet,42,350868,38,307117,34,348221,43,353374,41,307935,40,301978,38,297310,42,302268,40,298876,40,362634,
000198_Jazz_musicians.konet,28,890797,26,890654,28,802787,29,837886,26,866110,28,627563,29,632381,27,644874,28,654791,28,612888,
000212_pdzbase.konet,105,387120,119,375091,124,380897,122,380246,121,421303,106,339871,108,350520,107,347832,125,571209,127,369097,
001133_rovira.konet,425,5723038,435,5405585,441,6243558,420,5589835,426,6060715,430,5075619,442,9701351,441,8977974,444,6409036,448,5503964,
001174_euroroad.konet,523,5539197,517,8185242,518,5932316,521,5478712,525,6666060,523,5483354,514,5444100,513,5382208,519,5430656,516,5440350,
001858_hamster.konet,935,21578790,929,17851074,942,17466994,939,18599282,938,16937542,932,16817014,961,17590851,942,16659199,918,17389806,919,16582397,
100 times 
000027_zebra.konet,4,37837,4,53905,4,48396,4,52984,4,37120,4,36228,4,50271,4,57008,4,51959,4,54255,
000034_zachary.konet,7,43472,7,44756,8,46284,4,59730,7,44741,7,45150,7,72928,7,111909,7,81131,7,82149,
000062_dolphins.konet,18,125273,18,82715,18,108101,18,117988,19,83361,18,112574,17,118628,19,82038,18,116978,20,128763,
000112_David_Copperfield.konet,36,193306,35,181340,37,190921,34,274915,36,183879,35,178862,35,250614,36,178438,37,183986,36,182120,
000198_Jazz_musicians.konet,26,582723,26,574819,26,869910,27,574730,26,851288,25,566795,25,606139,27,869594,26,631320,25,951060,
000212_pdzbase.konet,106,436750,110,342989,103,312849,110,588504,110,354129,114,332300,104,366220,111,343922,115,338671,118,674997,
001133_rovira.konet,431,5841321,418,5195729,420,5361736,430,5212680,426,4959956,421,6148168,418,4866835,432,5164952,431,8653026,430,5567782,
001174_euroroad.konet,509,5585420,503,8994031,507,9778666,514,9499612,509,9648774,515,9074555,512,5773538,512,6379402,509,6647376,514,9707942,
001858_hamster.konet,914,15931371,894,16336978,916,18836382,889,16761079,899,15794754,906,18395586,902,15987503,898,16523990,908,17757120,871,15543480,
