0:,23,3565686
0:,5,2019456
0:,2,2203575
0:,25,1993696
0:,7,5078013
0:,3,6096004
0:,33,4941024
0:,8,18616567
0:,3,26266054
0:,53,1602535
0:,3,20187832
0:,5,13296263
0:,9,68368122
src/test/resources/DIMACS-GC/DSJC125.1.col,0:,23,3444788
src/test/resources/DIMACS-GC/DSJC125.5.col,0:,5,2001690
src/test/resources/DIMACS-GC/DSJC125.9.col,0:,2,2164845
src/test/resources/DIMACS-GC/DSJC250.1.col,0:,25,1998494
src/test/resources/DIMACS-GC/DSJC250.5.col,0:,7,5130372
src/test/resources/DIMACS-GC/DSJC250.9.col,0:,3,5779368
src/test/resources/DIMACS-GC/DSJC500.1.col,0:,33,5037613
src/test/resources/DIMACS-GC/DSJC500.5.col,0:,8,19145097
src/test/resources/DIMACS-GC/DSJC500.9.col,0:,3,26533065
src/test/resources/DIMACS-GC/DSJR500.1.col,0:,53,1564153
src/test/resources/DIMACS-GC/DSJR500.1c.col,0:,3,20132745
src/test/resources/DIMACS-GC/DSJR500.5.col,0:,5,12950445
src/test/resources/DIMACS-GC/flat1000_50_0.col,0:,9,68649491
src/test/resources/DIMACS-GC/flat1000_60_0.col,0:,8,51681633
src/test/resources/DIMACS-GC/flat1000_76_0.col,0:,10,63813310
src/test/resources/DIMACS-GC/flat300_20_0.col,0:,6,3781343
src/test/resources/DIMACS-GC/flat300_26_0.col,0:,9,4340810
src/test/resources/DIMACS-GC/flat300_28_0.col,0:,8,3729151
src/test/resources/DIMACS-GC/fpsol2.i.1.col,0:,229,5998125
src/test/resources/DIMACS-GC/fpsol2.i.2.col,0:,90,1464859
src/test/resources/DIMACS-GC/fpsol2.i.3.col,0:,64,1515879
src/test/resources/DIMACS-GC/inithx.i.1.col,0:,347,9826346
src/test/resources/DIMACS-GC/inithx.i.2.col,0:,89,3026922
src/test/resources/DIMACS-GC/inithx.i.3.col,0:,64,2942890
src/test/resources/DIMACS-GC/le450_15a.col,0:,41,2198682
src/test/resources/DIMACS-GC/le450_15b.col,0:,41,2274001
src/test/resources/DIMACS-GC/le450_15c.col,0:,24,4467218
src/test/resources/DIMACS-GC/le450_15d.col,0:,19,4462256
src/test/resources/DIMACS-GC/le450_25a.col,0:,63,2120195
src/test/resources/DIMACS-GC/le450_25b.col,0:,47,2169914
src/test/resources/DIMACS-GC/le450_25c.col,0:,24,3617531
src/test/resources/DIMACS-GC/le450_25d.col,0:,21,3173399
src/test/resources/DIMACS-GC/le450_5a.col,0:,52,1441381
src/test/resources/DIMACS-GC/le450_5b.col,0:,53,1450929
src/test/resources/DIMACS-GC/le450_5c.col,0:,63,2223054
src/test/resources/DIMACS-GC/le450_5d.col,0:,60,2281061
src/test/resources/DIMACS-GC/miles1000.col,0:,6,720447
src/test/resources/DIMACS-GC/miles1500.col,0:,2,1129779
src/test/resources/DIMACS-GC/miles250.col,0:,31,213179
src/test/resources/DIMACS-GC/miles500.col,0:,13,337156
src/test/resources/DIMACS-GC/miles750.col,0:,8,469394
src/test/resources/DIMACS-GC/mulsol.i.1.col,0:,61,675429
src/test/resources/DIMACS-GC/mulsol.i.2.col,0:,17,586563
src/test/resources/DIMACS-GC/mulsol.i.3.col,0:,12,629978
src/test/resources/DIMACS-GC/mulsol.i.4.col,0:,12,592308
src/test/resources/DIMACS-GC/mulsol.i.5.col,0:,12,596532
src/test/resources/DIMACS-GC/queen10_10.col,0:,7,306162
src/test/resources/DIMACS-GC/queen11_11.col,0:,9,399192
src/test/resources/DIMACS-GC/queen12_12.col,0:,9,488856
src/test/resources/DIMACS-GC/queen13_13.col,0:,9,560950
src/test/resources/DIMACS-GC/queen14_14.col,0:,9,754095
src/test/resources/DIMACS-GC/queen15_15.col,0:,9,813625
src/test/resources/DIMACS-GC/queen16_16.col,0:,11,1418397
src/test/resources/DIMACS-GC/queen5_5.col,0:,5,59514
src/test/resources/DIMACS-GC/queen6_6.col,0:,5,100528
src/test/resources/DIMACS-GC/queen7_7.col,0:,5,138059
src/test/resources/DIMACS-GC/queen8_12.col,0:,7,308619
src/test/resources/DIMACS-GC/queen8_8.col,0:,5,189325
src/test/resources/DIMACS-GC/queen9_9.col,0:,5,233402
src/test/resources/DIMACS-GC/school1.col,0:,25,3265945
src/test/resources/DIMACS-GC/school1_nsh.col,0:,25,3108024
src/test/resources/DIMACS-GC/zeroin.i.1.col,0:,87,735454
src/test/resources/DIMACS-GC/zeroin.i.2.col,0:,56,559188
src/test/resources/DIMACS-GC/zeroin.i.3.col,0:,51,590640
